First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Douglas,Male,08-06-1993,12:42 PM,97308.0,6.945,True,Marketing
Thomas,Male,3/31/1996,6:53 AM,61933.0,4.17,True,Client Services
Maria,Female,4/23/1993,11:17 AM,130590.0,11.858,False,Finance
Jerry,Male,03-04-2005,1:00 PM,138705.0,9.34,True,Finance
Larry,Male,1/24/1998,4:47 PM,101004.0,1.389,True,Client Services
Dennis,Male,4/18/1987,1:35 AM,115163.0,10.125,False,Legal
Ruby,Female,8/17/1987,4:20 PM,65476.0,10.012,True,Product
Marilyn,Female,7/20/2015,10:43 AM,45906.0,11.598,True,Finance
Angela,Female,11/22/2005,6:29 AM,95570.0,18.523,True,Engineering
Frances,Female,08-08-2002,6:51 AM,139852.0,7.524,True,Business Development
Louise,Female,08-12-1980,9:01 AM,63241.0,15.132,True,Client Services
Julie,Female,10/26/1997,3:19 PM,102508.0,12.637,True,Legal
Brandon,Male,12-01-1980,1:08 AM,112807.0,17.492,True,Human Resources
Gary,Male,1/27/2008,11:40 PM,109831.0,5.831,False,Sales
Kimberly,Female,1/14/1999,7:13 AM,41426.0,14.543,True,Finance
Lillian,Female,06-05-2016,6:09 AM,59414.0,1.256,False,Product
Jeremy,Male,9/21/2010,5:56 AM,90370.0,7.369,False,Human Resources
Shawn,Male,12-07-1986,7:45 PM,111737.0,6.414,False,Product
Diana,Female,10/23/1981,10:27 AM,132940.0,19.082,False,Client Services
Donna,Female,7/22/2010,3:48 AM,81014.0,1.894,False,Product
Lois,Female,4/22/1995,7:18 PM,64714.0,4.934,True,Legal
Matthew,Male,09-05-1995,2:12 AM,100612.0,13.645,False,Marketing
Joshua,Female,03-08-2012,1:58 AM,90816.0,18.816,True,Client Services
Marilyn,Male,6/14/2012,4:19 PM,125792.0,5.042,True,Client Services
John,Male,07-01-1992,10:08 PM,97950.0,13.873,False,Client Services
Marilyn,Male,10-08-2012,1:12 AM,37076.0,18.576,True,Client Services
Craig,Male,2/27/2000,7:45 AM,37598.0,7.757,True,Marketing
Scott,Female,07-11-1991,6:58 PM,122367.0,5.218,False,Legal
Terry,Male,11/27/1981,6:30 PM,124008.0,13.464,True,Client Services
Benjamin,Male,1/26/2005,10:06 PM,79529.0,7.008,True,Legal
Christina,Female,08-06-2002,1:19 PM,118780.0,9.096,True,Engineering
Joyce,Female,2/20/2005,2:40 PM,88657.0,12.752,False,Product
Marilyn,Male,8/21/1998,2:27 PM,122340.0,6.417,True,Client Services
Jean,Female,12/18/1993,9:07 AM,119082.0,16.18,False,Business Development
Jerry,Male,01-10-2004,12:56 PM,95734.0,19.096,False,Client Services
Theresa,Female,10-10-2006,1:12 AM,85182.0,16.675,False,Sales
Rachel,Female,2/16/2009,8:47 PM,142032.0,12.599,False,Business Development
Linda,Female,10/19/1981,8:49 PM,57427.0,9.557,True,Client Services
Stephanie,Female,9/13/1986,1:52 AM,36844.0,5.574,True,Business Development
Marilyn,Male,1/29/2016,2:33 AM,122173.0,7.797,True,Client Services
Michael,Male,10-10-2008,11:25 AM,99283.0,2.665,True,Distribution
Christine,Female,6/28/2015,1:08 AM,66582.0,11.308,True,Business Development
Beverly,Female,09-09-1998,8:26 PM,121918.0,15.835,False,Legal
Marilyn,Female,12-07-1980,3:16 AM,73524.0,5.207,True,Marketing
